timestamp,can_id,data
"2025-08-27T13-59-17.768+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.776+05:30","0x111","0x00 0x00 0x00 0x00 0x02 0x00 0x00 0x00"
"2025-08-27T13-59-17.783+05:30","0x49","0x11 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.790+05:30","0x131","0x00 0x00 0x00 0x00 0x27 0x10 0x00 0x00"
"2025-08-27T13-59-17.797+05:30","0x314","0x00 0x01 0x68 0x01 0xC2 0x00 0x00 0x00"
"2025-08-27T13-59-17.805+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.812+05:30","0x162","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.820+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.827+05:30","0x26","0x4E 0x20 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.834+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.841+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-17.848+05:30","0xA2","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.856+05:30","0x163","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.864+05:30","0x2096","0x02 0x00 0x09 0x06 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.871+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.879+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.886+05:30","0x42","0x00 0x10 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.893+05:30","0x49","0x12 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.901+05:30","0x18F","0x00 0xFF 0xF8 0x00 0x00 0xFF 0x1F 0x00"
"2025-08-27T13-59-17.908+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.915+05:30","0x160","0x40 0x00 0x00 0x00 0x00 0x00 0x96 0x01"
"2025-08-27T13-59-17.923+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.930+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-17.938+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-17.945+05:30","0x26","0x4E 0x20 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.953+05:30","0x161","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.960+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-17.968+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.975+05:30","0x43","0x00 0x01 0xFD 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.982+05:30","0x31","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-17.989+05:30","0x41","0x09 0x00 0x00 0x01 0x57 0x00 0x00 0x00"
"2025-08-27T13-59-17.997+05:30","0x49","0x13 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.004+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-18.011+05:30","0x162","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.019+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-18.029+05:30","0x111","0x00 0x00 0x00 0x00 0x02 0x00 0x00 0x00"
"2025-08-27T13-59-18.037+05:30","0x131","0x00 0x00 0x00 0x00 0x27 0x10 0x00 0x00"
"2025-08-27T13-59-18.045+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-18.052+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-18.059+05:30","0x63B","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.066+05:30","0x163","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.073+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-18.080+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
